Código (SKU),Data da Posição de Estoque,Quantidade em Estoque,Valor ao Custo (R$),Valor a Preço de Venda (R$),Localização / CD
SKU_1361_MEX,2025-01-01,322,19445.0,61147.8,principal
SKU_1361_BLU,2025-01-01,173,10447.16,32852.7,principal
SKU_1362_POW,2025-01-01,325,98688.92,310342.5,principal
SKU_1362_SEA,2025-01-01,203,61642.61,193844.7,principal
SKU_1363_RAS,2025-01-01,206,62226.05,195679.4,principal
SKU_1363_HUN,2025-01-01,305,92130.8,289719.5,principal
SKU_1364_OFF,2025-01-01,274,40072.01,126012.6,principal
SKU_1364_TEA,2025-01-01,0,0.0,0.0,principal
SKU_1365_BUB,2025-01-01,0,0.0,0.0,principal
SKU_1365_NAV,2025-01-01,0,0.0,0.0,principal
SKU_1366_TEA,2025-01-01,292,39252.19,128450.8,principal
SKU_1366_PAL,2025-01-01,257,34547.3,113054.3,principal
SKU_1367_VAN,2025-01-01,185,10195.24,33281.5,principal
SKU_1367_BLA,2025-01-01,286,15761.29,51451.4,principal
SKU_1368_SNO,2025-01-01,248,52704.95,184735.2,principal
SKU_1368_TUR,2025-01-01,211,44841.71,157173.9,principal
SKU_1369_SNO,2025-01-01,184,9326.65,29421.6,principal
SKU_1369_RAS,2025-01-01,283,14344.79,45251.7,principal
SKU_1370_PRI,2025-01-01,0,0.0,0.0,principal
SKU_1370_MYS,2025-01-01,328,23154.43,59007.2,principal
SKU_1371_WHI,2025-01-01,277,25204.76,76147.3,principal
SKU_1371_HOT,2025-01-01,0,0.0,0.0,principal
SKU_1372_SEA,2025-01-01,184,20701.27,62541.6,principal
SKU_1372_DEN,2025-01-01,230,25876.59,78177.0,principal
SKU_1373_SKY,2025-01-01,161,10064.93,30573.9,principal
SKU_1373_CRE,2025-01-01,269,16816.56,51083.1,principal
SKU_1374_SAL,2025-01-01,0,0.0,0.0,principal
SKU_1374_BLU,2025-01-01,0,0.0,0.0,principal
SKU_1375_COR,2025-01-01,290,25427.75,76821.0,principal
SKU_1375_CLE,2025-01-01,285,24989.34,75496.5,principal
SKU_1376_SNO,2025-01-01,212,16919.54,60398.8,principal
SKU_1376_BIR,2025-01-01,224,17877.25,63817.6,principal
SKU_1377_PRI,2025-01-01,0,0.0,0.0,principal
SKU_1377_CLO,2025-01-01,273,21470.87,70952.7,principal
SKU_1378_SPA,2025-01-01,166,9704.02,34013.4,principal
SKU_1378_MOS,2025-01-01,292,17069.73,59830.8,principal
SKU_1379_SNO,2025-01-01,257,39504.32,124619.3,principal
SKU_1379_WHI,2025-01-01,325,49956.82,157592.5,principal
SKU_1380_TUR,2025-01-01,0,0.0,0.0,principal
SKU_1380_MIN,2025-01-01,295,26612.76,67820.5,principal
SKU_1381_WHI,2025-01-01,230,20928.14,63227.0,principal
SKU_1381_PAS,2025-01-01,171,15559.61,47007.9,principal
SKU_1382_ARM,2025-01-01,289,17452.19,54881.1,principal
SKU_1382_HOT,2025-01-01,201,12138.03,38169.9,principal
SKU_1383_CLE,2025-01-01,263,15660.83,47313.7,principal
SKU_1383_TUR,2025-01-01,313,18638.18,56308.7,principal
SKU_1384_CRE,2025-01-01,253,43301.22,131534.7,principal
SKU_1384_SKY,2025-01-01,336,57506.76,174686.4,principal
SKU_1385_PRI,2025-01-01,323,30994.08,93637.7,principal
SKU_1385_NAV,2025-01-01,142,13625.88,41165.8,principal
SKU_1386_SER,2025-01-01,156,10509.73,33524.4,principal
SKU_1386_COB,2025-01-01,341,22973.19,73280.9,principal
SKU_1387_BRI,2025-01-01,189,8645.36,30221.1,principal
SKU_1387_BAB,2025-01-01,333,15232.3,53246.7,principal
SKU_1388_BRI,2025-01-01,326,32668.71,122217.4,principal
SKU_1388_VAN,2025-01-01,335,33570.61,125591.5,principal
SKU_1389_SHO,2025-01-01,174,7229.75,24342.6,principal
SKU_1389_BAB,2025-01-01,182,7562.15,25461.8,principal
SKU_1390_SAP,2025-01-01,71,6405.11,16322.9,principal
SKU_1390_PAS,2025-01-01,0,0.0,0.0,principal
SKU_1391_LIG,2025-01-01,75,7072.64,21367.5,principal
SKU_1391_SEA,2025-01-01,211,19897.7,60113.9,principal
SKU_1392_LIM,2025-01-01,121,11811.04,35682.9,principal
SKU_1392_BLU,2025-01-01,205,20010.44,60454.5,principal
SKU_1393_COB,2025-01-01,89,8770.79,27581.1,principal
SKU_1393_SKY,2025-01-01,201,19808.19,62289.9,principal
SKU_1394_FOR,2025-01-01,128,19126.81,60147.2,principal
SKU_1394_EME,2025-01-01,98,14643.96,46050.2,principal
SKU_1395_BLA,2025-01-01,145,13367.29,42035.5,principal
SKU_1395_TUR,2025-01-01,109,10048.51,31599.1,principal
SKU_1396_FUC,2025-01-01,189,8393.32,25496.1,principal
SKU_1396_PAS,2025-01-01,82,3641.54,11061.8,principal
SKU_1397_SNO,2025-01-01,205,15852.46,48154.5,principal
SKU_1397_BUB,2025-01-01,197,15233.83,46275.3,principal
SKU_1398_AQU,2025-01-01,219,48656.78,147803.1,principal
SKU_1398_SPA,2025-01-01,232,51545.08,156576.8,principal
SKU_1399_PAL,2025-01-01,103,8840.3,27799.7,principal
SKU_1399_CRE,2025-01-01,0,0.0,0.0,principal
SKU_1400_FOR,2025-01-01,80,5527.93,16792.0,principal
SKU_1400_PAL,2025-01-01,203,14027.11,42609.7,principal
SKU_1401_GAR,2025-01-01,92,7305.43,22070.8,principal
SKU_1401_BLU,2025-01-01,175,13896.21,41982.5,principal
SKU_1402_WHI,2025-01-01,186,13893.87,43691.4,principal
SKU_1402_VAN,2025-01-01,187,13968.56,43926.3,principal
SKU_1403_AQU,2025-01-01,96,12164.07,36950.4,principal
SKU_1403_DUS,2025-01-01,54,6842.29,20784.6,principal
SKU_1404_SAP,2025-01-01,193,65154.27,196840.7,principal
SKU_1404_ARM,2025-01-01,193,65154.27,196840.7,principal
SKU_1405_FLA,2025-01-01,97,6899.79,20845.3,principal
SKU_1405_CLO,2025-01-01,66,4694.71,14183.4,principal
SKU_1406_PRI,2025-01-01,49,5644.17,17145.1,principal
SKU_1406_SHO,2025-01-01,205,23613.35,71729.5,principal
SKU_1407_OFF,2025-01-01,175,10787.43,37607.5,principal
SKU_1407_EME,2025-01-01,198,12205.21,42550.2,principal
SKU_1408_PAS,2025-01-01,100,29118.15,91990.0,principal
SKU_1408_FUC,2025-01-01,101,29409.33,92909.9,principal
SKU_1409_PEA,2025-01-01,461,28477.62,96763.9,principal
SKU_1409_PEA,2025-01-01,461,28477.62,96763.9,principal
SKU_1410_ROS,2025-01-01,180,60939.05,205182.0,principal
SKU_1410_JAD,2025-01-01,88,29792.43,100311.2,principal
SKU_1411_BLU,2025-01-01,223,17488.25,50152.7,principal
SKU_1411_RAS,2025-01-01,204,15998.22,45879.6,principal
SKU_1412_SHO,2025-01-01,206,65702.13,184349.4,principal
SKU_1412_BAB,2025-01-01,168,53582.32,150343.2,principal
SKU_1413_SAG,2025-01-01,196,11995.57,36240.4,principal
SKU_1413_JAD,2025-01-01,196,11995.57,36240.4,principal
SKU_1414_DUS,2025-01-01,95,10268.38,32290.5,principal
SKU_1414_CLO,2025-01-01,200,21617.64,67980.0,principal
SKU_1415_BAB,2025-01-01,202,22797.36,71689.8,principal
SKU_1415_MID,2025-01-01,197,22233.07,69915.3,principal
SKU_1416_CLE,2025-01-01,179,15405.89,50102.1,principal
SKU_1416_AQU,2025-01-01,229,19709.22,64097.1,principal
SKU_1417_SNO,2025-01-01,175,15645.68,48982.5,principal
SKU_1417_BIR,2025-01-01,95,8493.37,26590.5,principal
SKU_1418_CLE,2025-01-01,227,57886.94,191792.3,principal
SKU_1418_MOS,2025-01-01,78,19890.67,65902.2,principal
SKU_1419_FLA,2025-01-01,222,18504.07,55477.8,principal
SKU_1419_WHI,2025-01-01,83,6918.19,20741.7,principal
SKU_1420_EGR,2025-01-01,219,71189.53,216788.1,principal
SKU_1420_LIM,2025-01-01,206,66963.66,203919.4,principal
SKU_1421_LIG,2025-01-01,82,7136.36,18851.8,principal
SKU_1421_SER,2025-01-01,22,1914.63,5057.8,principal
SKU_1422_PIN,2025-01-01,104,12476.03,32749.6,principal
SKU_1422_MIN,2025-01-01,223,26751.48,70222.7,principal
SKU_1423_JAD,2025-01-01,221,87296.56,265177.9,principal
SKU_1423_SAG,2025-01-01,115,45425.81,137988.5,principal
SKU_1424_VAN,2025-01-01,220,72054.64,218878.0,principal
SKU_1424_BAB,2025-01-01,201,65831.74,199974.9,principal
SKU_1425_WHI,2025-01-01,74,4939.37,15532.6,principal
SKU_1425_LIG,2025-01-01,193,12882.4,40510.7,principal
SKU_1426_NAV,2025-01-01,215,8120.57,27928.5,principal
SKU_1426_SEA,2025-01-01,78,2946.07,10132.2,principal
SKU_1427_AQU,2025-01-01,237,14747.96,47376.3,principal
SKU_1427_BLA,2025-01-01,45,2800.25,8995.5,principal
SKU_1428_COB,2025-01-01,87,11683.82,42621.3,principal
SKU_1428_SKY,2025-01-01,179,24039.12,87692.1,principal
SKU_1429_SPA,2025-01-01,221,13263.91,41967.9,principal
SKU_1429_MAG,2025-01-01,81,4861.43,15381.9,principal
SKU_1430_PEA,2025-01-01,255,16088.53,45874.5,principal
SKU_1430_JAD,2025-01-01,208,13123.19,37419.2,principal
SKU_1431_TEA,2025-01-01,192,24214.97,71020.8,principal
SKU_1431_CRE,2025-01-01,120,15134.35,44388.0,principal
SKU_1432_WHI,2025-01-01,165,46070.12,118783.5,principal
SKU_1432_BRI,2025-01-01,58,16194.35,41754.2,principal
SKU_1433_OLI,2025-01-01,188,19489.04,59201.2,principal
SKU_1433_SAP,2025-01-01,178,18452.38,56052.2,principal
SKU_1434_ARM,2025-01-01,234,15619.08,49116.6,principal
SKU_1434_MIN,2025-01-01,202,13483.14,42399.8,principal
SKU_1435_SKY,2025-01-01,195,59437.76,196930.5,principal
SKU_1435_OLI,2025-01-01,179,54560.82,180772.1,principal
SKU_1436_BLU,2025-01-01,168,13923.99,47023.2,principal
SKU_1436_PAS,2025-01-01,0,0.0,0.0,principal
SKU_1437_ROY,2025-01-01,105,5515.23,17314.5,principal
SKU_1437_AQU,2025-01-01,219,11503.2,36113.1,principal
SKU_1438_MOS,2025-01-01,220,16922.1,45078.0,principal
SKU_1438_DEE,2025-01-01,203,15614.48,41594.7,principal
SKU_1439_CER,2025-01-01,201,12301.58,37164.9,principal
SKU_1439_SHO,2025-01-01,196,11995.57,36240.4,principal
SKU_1440_PIS,2025-01-01,168,77771.4,201583.2,principal
SKU_1440_BLU,2025-01-01,184,85178.2,220781.6,principal
SKU_1441_COB,2025-01-01,127,56876.81,146672.3,principal
SKU_1441_IVO,2025-01-01,194,86882.69,224050.6,principal
SKU_1442_OFF,2025-01-01,174,16696.5,50442.6,principal
SKU_1442_EME,2025-01-01,101,9691.65,29279.9,principal
SKU_1443_BLU,2025-01-01,223,19922.13,60187.7,principal
SKU_1443_PRI,2025-01-01,63,5628.22,17003.7,principal
SKU_1444_HUN,2025-01-01,0,0.0,0.0,principal
SKU_1444_OLI,2025-01-01,0,0.0,0.0,principal
SKU_1445_TEA,2025-01-01,125,19757.8,51237.5,principal
SKU_1445_PRI,2025-01-01,99,15648.18,40580.1,principal
SKU_1446_SHO,2025-01-01,181,19110.19,48851.9,principal
SKU_1446_GAR,2025-01-01,211,22277.62,56948.9,principal
SKU_1447_BLU,2025-01-01,219,17295.54,52538.1,principal
SKU_1447_OLI,2025-01-01,213,16821.69,51098.7,principal
SKU_1448_SKY,2025-01-01,181,10719.38,32561.9,principal
SKU_1448_SEA,2025-01-01,189,11193.16,34001.1,principal
SKU_1449_BLA,2025-01-01,164,17636.87,53283.6,principal
SKU_1449_NAV,2025-01-01,208,22368.72,67579.2,principal
SKU_1450_MAG,2025-01-01,204,27042.83,83619.6,principal
SKU_1450_JAD,2025-01-01,35,4639.7,14346.5,principal
SKU_1451_WHI,2025-01-01,162,12843.6,39673.8,principal
SKU_1451_BIR,2025-01-01,212,16807.67,51918.8,principal
SKU_1452_SKY,2025-01-01,175,6778.06,25357.5,principal
SKU_1452_DEE,2025-01-01,87,3369.66,12606.3,principal
SKU_1453_SAP,2025-01-01,41,3053.0,9630.9,principal
SKU_1453_PRI,2025-01-01,78,5808.14,18322.2,principal
SKU_1454_BRI,2025-01-01,91,5189.0,13640.9,principal
SKU_1454_BUB,2025-01-01,182,10378.0,27281.8,principal
SKU_1455_TEA,2025-01-01,90,9976.67,30141.0,principal
SKU_1455_ROY,2025-01-01,75,8313.89,25117.5,principal
SKU_1456_EME,2025-01-01,260,27100.29,81874.0,principal
SKU_1456_DEN,2025-01-01,195,20325.22,61405.5,principal
SKU_1457_SNO,2025-01-01,97,5133.91,15510.3,principal
SKU_1457_MAG,2025-01-01,81,4287.08,12951.9,principal
SKU_1458_PEA,2025-01-01,220,25479.72,76978.0,principal
SKU_1458_MIN,2025-01-01,191,22121.03,66830.9,principal
SKU_1459_OFF,2025-01-01,98,6771.71,20570.2,principal
SKU_1459_CRE,2025-01-01,84,5804.32,17631.6,principal
SKU_1460_FUC,2025-01-01,100,5544.33,17490.0,principal
SKU_1460_OLI,2025-01-01,231,12807.4,40401.9,principal
SKU_1461_NAV,2025-01-01,199,68842.35,212910.1,principal
SKU_1461_PRI,2025-01-01,192,66420.76,205420.8,principal
SKU_1462_MID,2025-01-01,121,11802.07,44152.9,principal
SKU_1462_OFF,2025-01-01,200,19507.55,72980.0,principal
SKU_1463_LIG,2025-01-01,220,18697.21,57178.0,principal
SKU_1463_DUS,2025-01-01,150,12748.09,38985.0,principal
SKU_1464_MOS,2025-01-01,80,6996.32,18392.0,principal
SKU_1464_BIR,2025-01-01,199,17403.34,45750.1,principal
SKU_1465_CLE,2025-01-01,191,22865.07,60145.9,principal
SKU_1465_OFF,2025-01-01,205,24541.04,64554.5,principal
SKU_1466_PRI,2025-01-01,171,15193.53,46152.9,principal
SKU_1466_SAP,2025-01-01,209,18569.88,56409.1,principal
SKU_1467_OLI,2025-01-01,219,14269.65,44873.1,principal
SKU_1467_FUC,2025-01-01,91,5929.4,18645.9,principal
SKU_1468_BAB,2025-01-01,0,0.0,0.0,principal
SKU_1468_MYS,2025-01-01,79,13856.36,41862.1,principal
SKU_1469_ARM,2025-01-01,99,9284.04,29195.1,principal
SKU_1469_SAL,2025-01-01,204,19130.75,60159.6,principal
SKU_1470_WHI,2025-01-01,81,24170.62,74511.9,principal
SKU_1470_MAR,2025-01-01,165,49236.46,151783.5,principal
SKU_1471_ROS,2025-01-01,110,6091.62,22539.0,principal
SKU_1471_LIG,2025-01-01,70,3876.48,14343.0,principal
SKU_1472_EME,2025-01-01,206,30491.81,96799.4,principal
SKU_1472_MYS,2025-01-01,195,28863.61,91630.5,principal
SKU_1473_BLU,2025-01-01,74,3558.46,13312.6,principal
SKU_1473_BAB,2025-01-01,190,9136.58,34181.0,principal
SKU_1474_BRI,2025-01-01,10,3465.87,10599.0,principal
SKU_1474_DEN,2025-01-01,167,57880.08,177003.3,principal
SKU_1475_VAN,2025-01-01,197,18727.21,49230.3,principal
SKU_1475_MIN,2025-01-01,181,17206.21,45231.9,principal
SKU_1476_WHI,2025-01-01,213,19275.88,58553.7,principal
SKU_1476_CLO,2025-01-01,77,6968.28,21167.3,principal
SKU_1477_CLE,2025-01-01,170,12655.12,38233.0,principal
SKU_1477_EME,2025-01-01,195,14516.17,43855.5,principal
SKU_1478_TEA,2025-01-01,214,13730.47,41708.6,principal
SKU_1478_COB,2025-01-01,109,6993.56,21244.1,principal
SKU_1479_MIN,2025-01-01,92,16897.81,51050.8,principal
SKU_1479_FUC,2025-01-01,178,32693.6,98772.2,principal
SKU_1480_SNO,2025-01-01,88,10774.45,32551.2,principal
SKU_1480_MEX,2025-01-01,62,7591.09,22933.8,principal
SKU_1481_BLA,2025-01-01,198,48767.14,160360.2,principal
SKU_1481_TEA,2025-01-01,183,45072.66,148211.7,principal
SKU_1482_MOS,2025-01-01,88,10930.23,39151.2,principal
SKU_1482_SHO,2025-01-01,175,21736.26,77857.5,principal
SKU_1483_WHI,2025-01-01,183,17498.11,59456.7,principal
SKU_1483_POW,2025-01-01,180,17211.25,58482.0,principal
SKU_1484_MOS,2025-01-01,67,9151.55,30813.3,principal
SKU_1484_EGR,2025-01-01,219,29913.28,100718.1,principal
SKU_1485_PAS,2025-01-01,230,60008.55,152927.0,principal
SKU_1485_CER,2025-01-01,83,21655.26,55186.7,principal
SKU_1486_OLI,2025-01-01,0,0.0,0.0,principal
SKU_1486_PAL,2025-01-01,119,11418.87,34498.1,principal
SKU_1487_BRI,2025-01-01,38,4046.93,12726.2,principal
SKU_1487_CLE,2025-01-01,178,18956.68,59612.2,principal
SKU_1488_IVO,2025-01-01,185,19996.32,62881.5,principal
SKU_1488_PEA,2025-01-01,85,9187.5,28891.5,principal
SKU_1489_TEA,2025-01-01,95,11568.25,35140.5,principal
SKU_1489_IVO,2025-01-01,216,26302.55,79898.4,principal
SKU_1490_EME,2025-01-01,101,10527.42,31804.9,principal
SKU_1490_VAN,2025-01-01,208,21680.24,65499.2,principal
SKU_1491_GAR,2025-01-01,202,8465.15,27249.8,principal
SKU_1491_CER,2025-01-01,110,4609.74,14839.0,principal
SKU_1492_SKY,2025-01-01,208,24479.23,77979.2,principal
SKU_1492_BIR,2025-01-01,196,23066.97,73480.4,principal
SKU_1493_PEA,2025-01-01,73,6437.31,24082.7,principal
SKU_1493_CLO,2025-01-01,246,21692.84,81155.4,principal
SKU_1494_EGR,2025-01-01,124,42645.25,134527.6,principal
SKU_1494_HOT,2025-01-01,172,59153.09,186602.8,principal
SKU_1495_FUC,2025-01-01,63,7407.31,20783.7,principal
SKU_1495_BLA,2025-01-01,194,22809.81,64000.6,principal
SKU_1496_PAS,2025-01-01,98,36613.69,111220.2,principal
SKU_1496_PEA,2025-01-01,0,0.0,0.0,principal
SKU_1497_FUC,2025-01-01,190,8483.86,25631.0,principal
SKU_1497_VAN,2025-01-01,198,8841.08,26710.2,principal
SKU_1498_OLI,2025-01-01,109,12263.25,37049.1,principal
SKU_1498_LIG,2025-01-01,0,0.0,0.0,principal
SKU_1499_HOT,2025-01-01,67,5537.43,17413.3,principal
SKU_1499_RAS,2025-01-01,212,17521.42,55098.8,principal
SKU_1500_MOS,2025-01-01,99,8470.35,25730.1,principal
SKU_1500_PAS,2025-01-01,215,18395.2,55878.5,principal
SKU_1501_OLI,2025-01-01,72,4049.06,12232.8,principal
SKU_1501_SAL,2025-01-01,168,9447.8,28543.2,principal
SKU_1502_PEA,2025-01-01,163,11263.15,34213.7,principal
SKU_1502_VAN,2025-01-01,103,7117.21,21619.7,principal
SKU_1503_VAN,2025-01-01,194,14682.52,44600.6,principal
SKU_1503_CER,2025-01-01,89,6735.79,20461.1,principal
SKU_1504_EME,2025-01-01,157,17663.58,53364.3,principal
SKU_1504_NAV,2025-01-01,75,8438.02,25492.5,principal
SKU_1505_BLU,2025-01-01,221,17183.17,51912.9,principal
SKU_1505_SNO,2025-01-01,199,15472.63,46745.1,principal
SKU_1506_PAL,2025-01-01,203,14840.96,46669.7,principal
SKU_1506_BRI,2025-01-01,2,146.22,459.8,principal
SKU_1507_PAS,2025-01-01,197,11730.74,35440.3,principal
SKU_1507_FLA,2025-01-01,0,0.0,0.0,principal
SKU_1508_LIM,2025-01-01,231,15961.89,48486.9,principal
SKU_1508_DEE,2025-01-01,151,10433.96,31694.9,principal
SKU_1509_HOT,2025-01-01,116,12282.88,37108.4,principal
SKU_1509_MAG,2025-01-01,47,4976.68,15035.3,principal
SKU_1510_SNO,2025-01-01,196,52037.65,163640.4,principal
SKU_1510_ROS,2025-01-01,202,53630.64,168649.8,principal
SKU_1511_CLE,2025-01-01,80,23783.86,74792.0,principal
SKU_1511_SKY,2025-01-01,205,60946.13,191654.5,principal
SKU_1512_TEA,2025-01-01,97,6919.6,21815.3,principal
SKU_1512_MYS,2025-01-01,97,6919.6,21815.3,principal
SKU_1513_PAS,2025-01-01,79,4588.4,16977.1,principal
SKU_1513_RAS,2025-01-01,92,5343.45,19770.8,principal
SKU_1514_PEA,2025-01-01,206,50313.35,170959.4,principal
SKU_1514_SPA,2025-01-01,195,47626.72,161830.5,principal
SKU_1515_SEA,2025-01-01,78,4971.12,15202.2,principal
SKU_1515_AQU,2025-01-01,174,11089.42,33912.6,principal
SKU_1516_CRE,2025-01-01,179,23825.25,62632.1,principal
SKU_1516_EME,2025-01-01,84,11180.56,29391.6,principal
SKU_1517_FOR,2025-01-01,172,78458.49,206382.8,principal
SKU_1517_ROS,2025-01-01,203,92599.26,243579.7,principal
SKU_1518_CLE,2025-01-01,97,7245.73,22785.3,principal
SKU_1518_LIM,2025-01-01,210,15686.62,49329.0,principal
SKU_1519_BLU,2025-01-01,93,18628.66,58580.7,principal
SKU_1519_TEA,2025-01-01,130,26040.07,81887.0,principal
SKU_1520_GAR,2025-01-01,236,17472.75,53076.4,principal
SKU_1520_ROY,2025-01-01,210,15547.79,47229.0,principal
SKU_1521_MOS,2025-01-01,155,9360.17,29434.5,principal
SKU_1521_FRE,2025-01-01,72,4347.95,13672.8,principal
SKU_1522_MOS,2025-01-01,91,3727.24,13640.9,principal
SKU_1522_BIR,2025-01-01,96,3932.03,14390.4,principal
SKU_1523_HOT,2025-01-01,195,20192.47,73105.5,principal
SKU_1523_CRE,2025-01-01,94,9733.81,35240.6,principal
SKU_1524_BLU,2025-01-01,54,5878.52,19974.6,principal
SKU_1524_DEN,2025-01-01,176,19159.64,65102.4,principal
SKU_1525_MYS,2025-01-01,204,18747.25,59139.6,principal
SKU_1525_OLI,2025-01-01,62,5697.69,17973.8,principal
SKU_1526_FOR,2025-01-01,81,4904.74,13761.9,principal
SKU_1527_FUC,2025-01-01,197,59009.2,179250.3,principal
SKU_1527_TEA,2025-01-01,93,27857.13,84620.7,principal
SKU_1528_PAS,2025-01-01,205,14582.04,44054.5,principal
SKU_1528_DEN,2025-01-01,231,16431.47,49641.9,principal
SKU_1529_HUN,2025-01-01,117,9432.67,28653.3,principal
SKU_1529_MIN,2025-01-01,116,9352.05,28408.4,principal
SKU_1530_HON,2025-01-01,202,8638.14,26239.8,principal
SKU_1530_PEA,2025-01-01,213,9108.54,27668.7,principal
SKU_1531_TEA,2025-01-01,206,37495.48,113279.4,principal
SKU_1531_SNO,2025-01-01,213,38769.6,117128.7,principal
SKU_1532_BRI,2025-01-01,214,58543.66,209698.6,principal
SKU_1532_EME,2025-01-01,193,52798.72,189120.7,principal
SKU_1533_CER,2025-01-01,223,11074.1,36772.7,principal
