Código (SKU),Data da Posição de Estoque,Quantidade em Estoque,Valor ao Custo (R$),Valor a Preço de Venda (R$),Localização / CD
SKU_1214_BLA,2025-10-01,113,10624.55,33888.7,principal
SKU_1214_RAS,2025-10-01,119,11188.68,35688.1,principal
SKU_1215_MAG,2025-10-01,130,8971.46,28587.0,principal
SKU_1215_BRI,2025-10-01,63,4347.71,13853.7,principal
SKU_1216_WHI,2025-10-01,170,25896.83,96883.0,principal
SKU_1216_CRE,2025-10-01,171,26049.16,97452.9,principal
SKU_1217_ROS,2025-10-01,106,27550.28,86909.4,principal
SKU_1217_RAS,2025-10-01,95,24691.29,77890.5,principal
SKU_1218_BLU,2025-10-01,103,26469.22,67454.7,principal
SKU_1218_SNO,2025-10-01,50,12849.14,32745.0,principal
SKU_1219_MAR,2025-10-01,129,19366.15,50942.1,principal
SKU_1219_LIM,2025-10-01,0,0.0,0.0,principal
SKU_1220_TUR,2025-10-01,87,8780.21,26526.3,principal
SKU_1220_HOT,2025-10-01,56,5651.63,17074.4,principal
SKU_1221_SAG,2025-10-01,121,28277.48,88922.9,principal
SKU_1221_PAL,2025-10-01,0,0.0,0.0,principal
SKU_1222_PAS,2025-10-01,101,28092.25,85334.9,principal
SKU_1222_HON,2025-10-01,115,31986.22,97163.5,principal
SKU_1223_TEA,2025-10-01,176,8395.39,25502.4,principal
SKU_1223_BLA,2025-10-01,87,4149.99,12606.3,principal
SKU_1224_OLI,2025-10-01,0,0.0,0.0,principal
SKU_1224_ARM,2025-10-01,61,8276.01,25308.9,principal
SKU_1225_POW,2025-10-01,112,7291.4,24068.8,principal
SKU_1225_IVO,2025-10-01,171,11132.41,36747.9,principal
SKU_1226_PAL,2025-10-01,166,22964.77,80493.4,principal
SKU_1226_LIG,2025-10-01,135,18676.17,65461.5,principal
SKU_1227_CLO,2025-10-01,117,13896.13,46788.3,principal
SKU_1227_PAS,2025-10-01,137,16271.53,54786.3,principal
SKU_1228_WHI,2025-10-01,173,19679.92,50152.7,principal
SKU_1228_SPA,2025-10-01,83,9441.81,24061.7,principal
SKU_1229_SAL,2025-10-01,79,22363.25,67932.1,principal
SKU_1229_CLO,2025-10-01,143,40480.31,122965.7,principal
SKU_1230_ROS,2025-10-01,118,15534.36,47188.2,principal
SKU_1230_NAV,2025-10-01,134,17640.71,53586.6,principal
SKU_1231_LIG,2025-10-01,134,21285.48,64306.6,principal
SKU_1231_BIR,2025-10-01,0,0.0,0.0,principal
SKU_1232_AQU,2025-10-01,54,6343.48,19164.6,principal
SKU_1232_FOR,2025-10-01,0,0.0,0.0,principal
SKU_1233_JAD,2025-10-01,93,7344.68,22310.7,principal
SKU_1233_SEA,2025-10-01,140,11056.51,33586.0,principal
SKU_1234_MOS,2025-10-01,62,4120.94,12703.8,principal
SKU_1234_SAL,2025-10-01,0,0.0,0.0,principal
SKU_1235_HUN,2025-10-01,0,0.0,0.0,principal
SKU_1235_COR,2025-10-01,143,19383.94,67195.7,principal
SKU_1236_DEE,2025-10-01,100,17666.9,56990.0,principal
SKU_1236_LIM,2025-10-01,185,32683.76,105431.5,principal
SKU_1237_BAB,2025-10-01,100,28527.15,99990.0,principal
SKU_1237_GAR,2025-10-01,171,48781.42,170982.9,principal
SKU_1238_SAP,2025-10-01,134,19535.63,61626.6,principal
SKU_1238_TUR,2025-10-01,0,0.0,0.0,principal
SKU_1239_BAB,2025-10-01,56,6601.61,17354.4,principal
SKU_1239_MID,2025-10-01,58,6837.39,17974.2,principal
SKU_1240_PAL,2025-10-01,192,63200.08,191980.8,principal
SKU_1240_MOS,2025-10-01,0,0.0,0.0,principal
SKU_1241_BAL,2025-10-01,66,7819.62,23753.4,principal
SKU_1241_FLA,2025-10-01,69,8175.06,24833.1,principal
SKU_1242_AQU,2025-10-01,167,16723.08,52588.3,principal
SKU_1242_SKY,2025-10-01,167,16723.08,52588.3,principal
SKU_1243_SNO,2025-10-01,87,7052.39,21306.3,principal
SKU_1243_PIN,2025-10-01,178,14429.02,43592.2,principal
SKU_1244_COB,2025-10-01,178,16409.5,51602.2,principal
SKU_1244_GAR,2025-10-01,85,7836.0,24641.5,principal
SKU_1245_COB,2025-10-01,87,5383.61,18261.3,principal
SKU_1245_SNO,2025-10-01,0,0.0,0.0,principal
SKU_1246_PAL,2025-10-01,116,9550.3,34208.4,principal
SKU_1246_COR,2025-10-01,78,6421.75,23002.2,principal
SKU_1247_SAP,2025-10-01,56,2874.23,10074.4,principal
SKU_1247_SKY,2025-10-01,124,6364.36,22307.6,principal
SKU_1248_AQU,2025-10-01,58,3222.32,9854.2,principal
SKU_1248_SAG,2025-10-01,86,4777.93,14611.4,principal
SKU_1249_WHI,2025-10-01,97,9958.99,26180.3,principal
SKU_1249_ARM,2025-10-01,154,15811.17,41564.6,principal
SKU_1250_AQU,2025-10-01,83,7101.4,21571.7,principal
SKU_1250_BAB,2025-10-01,105,8983.7,27289.5,principal
SKU_1251_SHO,2025-10-01,67,20289.68,61633.3,principal
SKU_1251_COB,2025-10-01,0,0.0,0.0,principal
SKU_1252_NAV,2025-10-01,108,7723.97,24289.2,principal
SKU_1252_FLA,2025-10-01,74,5292.35,16642.6,principal
SKU_1253_SEA,2025-10-01,181,21444.71,65141.9,principal
SKU_1253_FRE,2025-10-01,114,13506.62,41028.6,principal
SKU_1254_SEA,2025-10-01,0,0.0,0.0,principal
SKU_1254_BAB,2025-10-01,45,2828.56,8545.5,principal
SKU_1255_VAN,2025-10-01,42,6261.4,20155.8,principal
SKU_1255_SHO,2025-10-01,178,26536.41,85422.2,principal
SKU_1256_SEA,2025-10-01,157,31051.08,102034.3,principal
SKU_1256_MID,2025-10-01,176,34808.85,114382.4,principal
SKU_1257_SPA,2025-10-01,86,5027.39,17621.4,principal
SKU_1257_EME,2025-10-01,85,4968.93,17416.5,principal
SKU_1258_AQU,2025-10-01,93,7316.8,24635.7,principal
SKU_1258_LIG,2025-10-01,0,0.0,0.0,principal
SKU_1259_ARM,2025-10-01,75,9620.13,26992.5,principal
SKU_1259_POW,2025-10-01,0,0.0,0.0,principal
SKU_1260_WHI,2025-10-01,154,17326.06,52344.6,principal
SKU_1260_ROY,2025-10-01,174,19576.2,59142.6,principal
SKU_1261_PAS,2025-10-01,283,46106.67,140056.7,principal
SKU_1261_PAS,2025-10-01,283,46106.67,140056.7,principal
SKU_1262_BLU,2025-10-01,165,15013.66,45358.5,principal
SKU_1262_OFF,2025-10-01,0,0.0,0.0,principal
SKU_1263_COB,2025-10-01,0,0.0,0.0,principal
SKU_1263_SKY,2025-10-01,145,8826.02,26810.5,principal
SKU_1264_EGR,2025-10-01,190,37152.26,116831.0,principal
SKU_1264_BRI,2025-10-01,128,25028.89,78707.2,principal
SKU_1265_CRE,2025-10-01,113,8224.92,24848.7,principal
SKU_1265_JAD,2025-10-01,113,8224.92,24848.7,principal
SKU_1266_MEX,2025-10-01,109,10761.25,32689.1,principal
SKU_1266_SPA,2025-10-01,177,17474.69,53082.3,principal
SKU_1267_SKY,2025-10-01,137,15186.71,45881.3,principal
SKU_1267_SAP,2025-10-01,0,0.0,0.0,principal
SKU_1268_MYS,2025-10-01,85,9052.35,28466.5,principal
SKU_1268_MAR,2025-10-01,105,11182.31,35164.5,principal
SKU_1269_BAB,2025-10-01,111,37999.19,115428.9,principal
SKU_1269_CER,2025-10-01,58,19855.43,60314.2,principal
SKU_1270_CRE,2025-10-01,187,11690.32,35511.3,principal
SKU_1270_TUR,2025-10-01,129,8064.45,24497.1,principal
SKU_1271_OLI,2025-10-01,89,26073.0,79201.1,principal
SKU_1271_FLA,2025-10-01,50,14647.75,44495.0,principal
SKU_1272_PAS,2025-10-01,0,0.0,0.0,principal
SKU_1272_TEA,2025-10-01,109,13706.41,41409.1,principal
SKU_1273_PAS,2025-10-01,130,31620.97,99437.0,principal
SKU_1273_EGR,2025-10-01,0,0.0,0.0,principal
