Código (SKU),Descrição / Nome,Modelo / Referência,Divisão,Categoria,Subcategoria,Preço de Venda (R$),Custo (R$),Temporada,Coleção,Nível de Risco,Faixa de Preço,Cor (nome do fornecedor),Material Principal
SKU_1040_BAB,Vestidos Vestido Curto SKU_1040_BAB,,Feminino,Vestidos,Vestido Curto,349.9,107.59,,PV24,,,,
SKU_1040_BLA,Vestidos Vestido Curto SKU_1040_BLA,,Feminino,Vestidos,Vestido Curto,349.9,107.59,,PV24,,,,
SKU_1041_EME,Cintos Cinto de Couro SKU_1041_EME,,Acessórios,Cintos,Cinto de Couro,219.9,65.44,,PV24,,,,
SKU_1041_SNO,Cintos Cinto de Couro SKU_1041_SNO,,Acessórios,Cintos,Cinto de Couro,219.9,65.44,,PV24,,,,
SKU_1042_EME,Saias Saia Midi SKU_1042_EME,,Feminino,Saias,Saia Midi,314.9,92.68,,PV24,,,,
SKU_1042_SEA,Saias Saia Midi SKU_1042_SEA,,Feminino,Saias,Saia Midi,314.9,92.68,,PV24,,,,
SKU_1043_CER,Vestidos Vestido Longo SKU_1043_CER,,Feminino,Vestidos,Vestido Longo,874.9,259.85,,PV24,,,,
SKU_1043_SPA,Vestidos Vestido Longo SKU_1043_SPA,,Feminino,Vestidos,Vestido Longo,874.9,259.85,,PV24,,,,
SKU_1044_COR,Vestidos Vestido Longo SKU_1044_COR,,Feminino,Vestidos,Vestido Longo,859.9,327.11,,PV24,,,,
SKU_1044_SER,Vestidos Vestido Longo SKU_1044_SER,,Feminino,Vestidos,Vestido Longo,859.9,327.11,,PV24,,,,
SKU_1045_BUB,Calças Calça Jeans SKU_1045_BUB,,Feminino,Calças,Calça Jeans,254.9,96.9,,PV24,,,,
SKU_1045_FOR,Calças Calça Jeans SKU_1045_FOR,,Feminino,Calças,Calça Jeans,254.9,96.9,,PV24,,,,
SKU_1046_PAS,T-shirts e Regatas T-shirt Básica SKU_1046_PAS,,Feminino,T-shirts e Regatas,T-shirt Básica,159.9,52.93,,PV24,,,,
SKU_1046_SNO,T-shirts e Regatas T-shirt Básica SKU_1046_SNO,,Feminino,T-shirts e Regatas,T-shirt Básica,159.9,52.93,,PV24,,,,
SKU_1047_DEE,Saias Saia Midi SKU_1047_DEE,,Feminino,Saias,Saia Midi,209.9,69.48,,PV24,,,,
SKU_1047_ROY,Saias Saia Midi SKU_1047_ROY,,Feminino,Saias,Saia Midi,209.9,69.48,,PV24,,,,
SKU_1048_MAR,Shorts e Bermudas Short Jeans SKU_1048_MAR,,Feminino,Shorts e Bermudas,Short Jeans,239.9,78.98,,PV24,,,,
SKU_1048_PEA,Shorts e Bermudas Short Jeans SKU_1048_PEA,,Feminino,Shorts e Bermudas,Short Jeans,239.9,78.98,,PV24,,,,
SKU_1049_BAL,Vestidos Vestido Longo SKU_1049_BAL,,Feminino,Vestidos,Vestido Longo,754.9,248.51,,PV24,,,,
SKU_1049_LIG,Vestidos Vestido Longo SKU_1049_LIG,,Feminino,Vestidos,Vestido Longo,754.9,248.51,,PV24,,,,
SKU_1050_BUB,Calças Calça Jeans SKU_1050_BUB,,Feminino,Calças,Calça Jeans,304.9,88.92,,PV24,,,,
SKU_1050_PRI,Calças Calça Jeans SKU_1050_PRI,,Feminino,Calças,Calça Jeans,304.9,88.92,,PV24,,,,
SKU_1051_CLE,Bolsas Bolsa Tiracolo SKU_1051_CLE,,Acessórios,Bolsas,Bolsa Tiracolo,749.9,228.05,,PV24,,,,
SKU_1051_LIG,Bolsas Bolsa Tiracolo SKU_1051_LIG,,Acessórios,Bolsas,Bolsa Tiracolo,749.9,228.05,,PV24,,,,
SKU_1052_FRE,Saias Saia Midi SKU_1052_FRE,,Feminino,Saias,Saia Midi,324.9,92.69,,PV24,,,,
SKU_1052_PAS,Saias Saia Midi SKU_1052_PAS,,Feminino,Saias,Saia Midi,324.9,92.69,,PV24,,,,
SKU_1053_NAV,Vestidos Vestido Curto SKU_1053_NAV,,Feminino,Vestidos,Vestido Curto,319.9,104.61,,PV24,,,,
SKU_1053_SHO,Vestidos Vestido Curto SKU_1053_SHO,,Feminino,Vestidos,Vestido Curto,319.9,104.61,,PV24,,,,
SKU_1054_DEE,Camisas Camisa Alfaiataria SKU_1054_DEE,,Feminino,Camisas,Camisa Alfaiataria,354.9,126.49,,PV24,,,,
SKU_1054_PAS,Camisas Camisa Alfaiataria SKU_1054_PAS,,Feminino,Camisas,Camisa Alfaiataria,354.9,126.49,,PV24,,,,
SKU_1055_LIG,Vestidos Vestido de Festa SKU_1055_LIG,,Feminino,Vestidos,Vestido de Festa,1134.9,375.65,,PV24,,,,
SKU_1055_PAL,Vestidos Vestido de Festa SKU_1055_PAL,,Feminino,Vestidos,Vestido de Festa,1134.9,375.65,,PV24,,,,
SKU_1056_CRE,Shorts e Bermudas Bermuda SKU_1056_CRE,,Feminino,Shorts e Bermudas,Bermuda,234.9,77.75,,PV24,,,,
SKU_1056_OLI,Shorts e Bermudas Bermuda SKU_1056_OLI,,Feminino,Shorts e Bermudas,Bermuda,234.9,77.75,,PV24,,,,
SKU_1057_ROY,Blusas Body SKU_1057_ROY,,Feminino,Blusas,Body,184.9,60.87,,PV24,,,,
SKU_1057_SNO,Blusas Body SKU_1057_SNO,,Feminino,Blusas,Body,184.9,60.87,,PV24,,,,
SKU_1058_MID,T-shirts e Regatas T-shirt Estampada SKU_1058_MID,,Feminino,T-shirts e Regatas,T-shirt Estampada,194.9,61.98,,PV24,,,,
SKU_1058_SHO,T-shirts e Regatas T-shirt Estampada SKU_1058_SHO,,Feminino,T-shirts e Regatas,T-shirt Estampada,194.9,61.98,,PV24,,,,
SKU_1059_OFF,Shorts e Bermudas Short Alfaiataria SKU_1059_OFF,,Feminino,Shorts e Bermudas,Short Alfaiataria,299.9,95.37,,PV24,,,,
SKU_1059_PEA,Shorts e Bermudas Short Alfaiataria SKU_1059_PEA,,Feminino,Shorts e Bermudas,Short Alfaiataria,299.9,95.37,,PV24,,,,
SKU_1060_CRE,Vestidos Vestido de Festa SKU_1060_CRE,,Feminino,Vestidos,Vestido de Festa,1109.9,341.16,,PV24,,,,
SKU_1060_LIM,Vestidos Vestido de Festa SKU_1060_LIM,,Feminino,Vestidos,Vestido de Festa,1109.9,341.16,,PV24,,,,
SKU_1061_EGR,Vestidos Vestido Curto SKU_1061_EGR,,Feminino,Vestidos,Vestido Curto,409.9,115.65,,PV24,,,,
SKU_1061_PAS,Vestidos Vestido Curto SKU_1061_PAS,,Feminino,Vestidos,Vestido Curto,409.9,115.65,,PV24,,,,
SKU_1062_MID,Shorts e Bermudas Short Jeans SKU_1062_MID,,Feminino,Shorts e Bermudas,Short Jeans,199.9,57.03,,PV24,,,,
SKU_1062_OLI,Shorts e Bermudas Short Jeans SKU_1062_OLI,,Feminino,Shorts e Bermudas,Short Jeans,199.9,57.03,,PV24,,,,
SKU_1063_SAP,Lenços Lenço Estampado SKU_1063_SAP,,Acessórios,Lenços,Lenço Estampado,184.9,58.61,,PV24,,,,
SKU_1063_SNO,Lenços Lenço Estampado SKU_1063_SNO,,Acessórios,Lenços,Lenço Estampado,184.9,58.61,,PV24,,,,
SKU_1064_BIR,Blusas Blusa Manga Curta SKU_1064_BIR,,Feminino,Blusas,Blusa Manga Curta,189.9,67.68,,PV24,,,,
SKU_1064_PRI,Blusas Blusa Manga Curta SKU_1064_PRI,,Feminino,Blusas,Blusa Manga Curta,189.9,67.68,,PV24,,,,
SKU_1065_CLE,Bolsas Bolsa Tote SKU_1065_CLE,,Acessórios,Bolsas,Bolsa Tote,644.9,212.3,,PV24,,,,
SKU_1065_COB,Bolsas Bolsa Tote SKU_1065_COB,,Acessórios,Bolsas,Bolsa Tote,644.9,212.3,,PV24,,,,
SKU_1066_IVO,Blusas Blusa Manga Curta SKU_1066_IVO,,Feminino,Blusas,Blusa Manga Curta,179.9,59.55,,PV24,,,,
SKU_1066_WHI,Blusas Blusa Manga Curta SKU_1066_WHI,,Feminino,Blusas,Blusa Manga Curta,179.9,59.55,,PV24,,,,
SKU_1067_EME,Calças Calça Pantalona SKU_1067_EME,,Feminino,Calças,Calça Pantalona,264.9,84.24,,PV24,,,,
SKU_1067_WHI,Calças Calça Pantalona SKU_1067_WHI,,Feminino,Calças,Calça Pantalona,264.9,84.24,,PV24,,,,
SKU_1068_BAL,Vestidos Vestido de Festa SKU_1068_BAL,,Feminino,Vestidos,Vestido de Festa,794.9,263.11,,PV24,,,,
SKU_1068_COR,Vestidos Vestido de Festa SKU_1068_COR,,Feminino,Vestidos,Vestido de Festa,794.9,263.11,,PV24,,,,
SKU_1069_CRE,Bolsas Bolsa Tote SKU_1069_CRE,,Acessórios,Bolsas,Bolsa Tote,529.9,175.4,,PV24,,,,
SKU_1069_OLI,Bolsas Bolsa Tote SKU_1069_OLI,,Acessórios,Bolsas,Bolsa Tote,529.9,175.4,,PV24,,,,
SKU_1070_LIG,Camisas Camisa Estampada SKU_1070_LIG,,Feminino,Camisas,Camisa Estampada,344.9,114.16,,PV24,,,,
SKU_1070_MID,Camisas Camisa Estampada SKU_1070_MID,,Feminino,Camisas,Camisa Estampada,344.9,114.16,,PV24,,,,
SKU_1071_BAB,Camisas Camisa Alfaiataria SKU_1071_BAB,,Feminino,Camisas,Camisa Alfaiataria,269.9,88.85,,PV24,,,,
SKU_1071_SKY,Camisas Camisa Alfaiataria SKU_1071_SKY,,Feminino,Camisas,Camisa Alfaiataria,269.9,88.85,,PV24,,,,
SKU_1072_CER,Vestidos Vestido Curto SKU_1072_CER,,Feminino,Vestidos,Vestido Curto,459.9,152.23,,PV24,,,,
SKU_1072_PAS,Vestidos Vestido Curto SKU_1072_PAS,,Feminino,Vestidos,Vestido Curto,459.9,152.23,,PV24,,,,
SKU_1073_BLU,Saias Saia Midi SKU_1073_BLU,,Feminino,Saias,Saia Midi,319.9,105.89,,PV24,,,,
SKU_1073_FRE,Saias Saia Midi SKU_1073_FRE,,Feminino,Saias,Saia Midi,319.9,105.89,,PV24,,,,
SKU_1074_JAD,Lenços Lenço Estampado SKU_1074_JAD,,Acessórios,Lenços,Lenço Estampado,204.9,67.45,,PV24,,,,
SKU_1074_PRI,Lenços Lenço Estampado SKU_1074_PRI,,Acessórios,Lenços,Lenço Estampado,204.9,67.45,,PV24,,,,
SKU_1075_LIG,Calças Calça Pantalona SKU_1075_LIG,,Feminino,Calças,Calça Pantalona,289.9,92.19,,PV24,,,,
SKU_1075_NAV,Calças Calça Pantalona SKU_1075_NAV,,Feminino,Calças,Calça Pantalona,289.9,92.19,,PV24,,,,
SKU_1076_BLU,Blusas Body SKU_1076_BLU,,Feminino,Blusas,Body,214.9,70.75,,PV24,,,,
SKU_1076_POW,Blusas Body SKU_1076_POW,,Feminino,Blusas,Body,214.9,70.75,,PV24,,,,
SKU_1077_MAR,Cintos Cinto de Couro SKU_1077_MAR,,Acessórios,Cintos,Cinto de Couro,229.9,73.11,,PV24,,,,
SKU_1077_NAV,Cintos Cinto de Couro SKU_1077_NAV,,Acessórios,Cintos,Cinto de Couro,229.9,73.11,,PV24,,,,
SKU_1078_BLU,Vestidos Vestido Curto SKU_1078_BLU,,Feminino,Vestidos,Vestido Curto,309.9,98.55,,PV24,,,,
SKU_1078_GAR,Vestidos Vestido Curto SKU_1078_GAR,,Feminino,Vestidos,Vestido Curto,309.9,98.55,,PV24,,,,
SKU_1079_BAB,Calças Calça Pantalona SKU_1079_BAB,,Feminino,Calças,Calça Pantalona,274.9,90.5,,PV24,,,,
SKU_1079_JAD,Calças Calça Pantalona SKU_1079_JAD,,Feminino,Calças,Calça Pantalona,274.9,90.5,,PV24,,,,
SKU_1080_MAR,Bolsas Bolsa Tiracolo SKU_1080_MAR,,Acessórios,Bolsas,Bolsa Tiracolo,474.9,151.02,,PV24,,,,
SKU_1080_TEA,Bolsas Bolsa Tiracolo SKU_1080_TEA,,Acessórios,Bolsas,Bolsa Tiracolo,474.9,151.02,,PV24,,,,
SKU_1081_EGR,Saias Saia Midi SKU_1081_EGR,,Feminino,Saias,Saia Midi,279.9,87.87,,PV24,,,,
SKU_1081_PAS,Saias Saia Midi SKU_1081_PAS,,Feminino,Saias,Saia Midi,279.9,87.87,,PV24,,,,
SKU_1082_LIG,Shorts e Bermudas Short Jeans SKU_1082_LIG,,Feminino,Shorts e Bermudas,Short Jeans,209.9,64.54,,PV24,,,,
SKU_1082_PIN,Shorts e Bermudas Short Jeans SKU_1082_PIN,,Feminino,Shorts e Bermudas,Short Jeans,209.9,64.54,,PV24,,,,
SKU_1083_BAB,Vestidos Vestido Curto SKU_1083_BAB,,Feminino,Vestidos,Vestido Curto,459.9,135.35,,PV24,,,,
SKU_1083_OFF,Vestidos Vestido Curto SKU_1083_OFF,,Feminino,Vestidos,Vestido Curto,459.9,135.35,,PV24,,,,
SKU_1084_DUS,Vestidos Vestido de Festa SKU_1084_DUS,,Feminino,Vestidos,Vestido de Festa,989.9,323.7,,PV24,,,,
SKU_1084_PAS,Vestidos Vestido de Festa SKU_1084_PAS,,Feminino,Vestidos,Vestido de Festa,989.9,323.7,,PV24,,,,
SKU_1085_COB,Bolsas Bolsa Tiracolo SKU_1085_COB,,Acessórios,Bolsas,Bolsa Tiracolo,499.9,163.32,,PV24,,,,
SKU_1085_CRE,Bolsas Bolsa Tiracolo SKU_1085_CRE,,Acessórios,Bolsas,Bolsa Tiracolo,499.9,163.32,,PV24,,,,
SKU_1086_CRE,Shorts e Bermudas Short Alfaiataria SKU_1086_CRE,,Feminino,Shorts e Bermudas,Short Alfaiataria,224.9,88.25,,PV24,,,,
SKU_1086_PRI,Shorts e Bermudas Short Alfaiataria SKU_1086_PRI,,Feminino,Shorts e Bermudas,Short Alfaiataria,224.9,88.25,,PV24,,,,
SKU_1087_BIR,Calças Calça Jeans SKU_1087_BIR,,Feminino,Calças,Calça Jeans,374.9,144.75,,PV24,,,,
SKU_1087_SNO,Calças Calça Jeans SKU_1087_SNO,,Feminino,Calças,Calça Jeans,374.9,144.75,,PV24,,,,
SKU_1088_CER,Vestidos Vestido de Festa SKU_1088_CER,,Feminino,Vestidos,Vestido de Festa,714.9,235.35,,PV24,,,,
SKU_1088_HON,Vestidos Vestido de Festa SKU_1088_HON,,Feminino,Vestidos,Vestido de Festa,714.9,235.35,,PV24,,,,
SKU_1089_EGR,Camisas Camisa Alfaiataria SKU_1089_EGR,,Feminino,Camisas,Camisa Alfaiataria,334.9,97.48,,PV24,,,,
SKU_1089_GAR,Camisas Camisa Alfaiataria SKU_1089_GAR,,Feminino,Camisas,Camisa Alfaiataria,334.9,97.48,,PV24,,,,
SKU_1090_PAL,T-shirts e Regatas Regata SKU_1090_PAL,,Feminino,T-shirts e Regatas,Regata,134.9,43.32,,PV24,,,,
SKU_1090_WHI,T-shirts e Regatas Regata SKU_1090_WHI,,Feminino,T-shirts e Regatas,Regata,134.9,43.32,,PV24,,,,
SKU_1091_MOS,Blusas Body SKU_1091_MOS,,Feminino,Blusas,Body,314.9,84.17,,PV24,,,,
SKU_1091_OFF,Blusas Body SKU_1091_OFF,,Feminino,Blusas,Body,314.9,84.17,,PV24,,,,
SKU_1092_MIN,Camisas Camisa Alfaiataria SKU_1092_MIN,,Feminino,Camisas,Camisa Alfaiataria,329.9,107.88,,PV24,,,,
SKU_1092_TUR,Camisas Camisa Alfaiataria SKU_1092_TUR,,Feminino,Camisas,Camisa Alfaiataria,329.9,107.88,,PV24,,,,
SKU_1093_GAR,Vestidos Vestido de Festa SKU_1093_GAR,,Feminino,Vestidos,Vestido de Festa,1164.9,415.17,,PV24,,,,
SKU_1093_TEA,Vestidos Vestido de Festa SKU_1093_TEA,,Feminino,Vestidos,Vestido de Festa,1164.9,415.17,,PV24,,,,
SKU_1094_DEE,Shorts e Bermudas Short Jeans SKU_1094_DEE,,Feminino,Shorts e Bermudas,Short Jeans,234.9,89.3,,PV24,,,,
SKU_1094_FOR,Shorts e Bermudas Short Jeans SKU_1094_FOR,,Feminino,Shorts e Bermudas,Short Jeans,234.9,89.3,,PV24,,,,
