Número do Pedido,Código (SKU),Data do Pedido,Quantidade Pedida,Custo Unitário (R$),Fornecedor,Previsão de Entrega,Data de Entrega Real,Status
PED_SKU_1007_FOR_2,SKU_1007_FOR,2023-10-15,262,93.78,,2023-11-29,,Entregue
PED_SKU_1007_FOR_3,SKU_1007_FOR,2023-12-14,262,93.78,,2024-01-28,,Entregue
PED_SKU_1008_MEX_0,SKU_1008_MEX,2023-06-17,370,107.54,,2023-08-01,,Entregue
PED_SKU_1008_MEX_1,SKU_1008_MEX,2023-08-16,370,107.54,,2023-09-30,,Entregue
PED_SKU_1008_MEX_2,SKU_1008_MEX,2023-10-15,370,107.54,,2023-11-29,,Entregue
PED_SKU_1008_WHI_0,SKU_1008_WHI,2023-06-17,352,107.54,,2023-08-01,,Entregue
PED_SKU_1008_WHI_1,SKU_1008_WHI,2023-08-16,352,107.54,,2023-09-30,,Entregue
PED_SKU_1008_WHI_2,SKU_1008_WHI,2023-10-15,352,107.54,,2023-11-29,,Entregue
PED_SKU_1009_BAB_0,SKU_1009_BAB,2023-06-17,379,142.22,,2023-08-01,,Entregue
PED_SKU_1009_BAB_1,SKU_1009_BAB,2023-08-16,379,142.22,,2023-09-30,,Entregue
PED_SKU_1009_BAB_2,SKU_1009_BAB,2023-10-15,379,142.22,,2023-11-29,,Entregue
PED_SKU_1009_MAG_0,SKU_1009_MAG,2023-06-17,317,142.22,,2023-08-01,,Entregue
PED_SKU_1009_MAG_1,SKU_1009_MAG,2023-08-16,317,142.22,,2023-09-30,,Cancelado
PED_SKU_1009_MAG_2,SKU_1009_MAG,2023-10-15,317,142.22,,2023-11-29,,Entregue
PED_SKU_1010_SNO_0,SKU_1010_SNO,2023-06-17,529,113.2,,2023-08-01,,Entregue
PED_SKU_1010_SNO_1,SKU_1010_SNO,2023-08-16,529,113.2,,2023-09-30,,Entregue
PED_SKU_1010_BRI_0,SKU_1010_BRI,2023-06-17,343,113.2,,2023-08-01,,Cancelado
PED_SKU_1010_BRI_1,SKU_1010_BRI,2023-08-16,343,113.2,,2023-09-30,,Entregue
PED_SKU_1010_BRI_2,SKU_1010_BRI,2023-10-15,343,113.2,,2023-11-29,,Entregue
PED_SKU_1011_CER_0,SKU_1011_CER,2023-06-17,254,69.47,,2023-08-01,,Entregue
PED_SKU_1011_CER_1,SKU_1011_CER,2023-08-16,254,69.47,,2023-09-30,,Entregue
PED_SKU_1011_CER_2,SKU_1011_CER,2023-10-15,254,69.47,,2023-11-29,,Entregue
PED_SKU_1011_CER_3,SKU_1011_CER,2023-12-14,254,69.47,,2024-01-28,,Entregue
PED_SKU_1011_MIN_0,SKU_1011_MIN,2023-06-17,244,69.47,,2023-08-01,,Entregue
PED_SKU_1011_MIN_1,SKU_1011_MIN,2023-08-16,244,69.47,,2023-09-30,,Entregue
PED_SKU_1011_MIN_2,SKU_1011_MIN,2023-10-15,244,69.47,,2023-11-29,,Entregue
PED_SKU_1011_MIN_3,SKU_1011_MIN,2023-12-14,244,69.47,,2024-01-28,,Entregue
PED_SKU_1012_VAN_0,SKU_1012_VAN,2023-06-17,270,288.06,,2023-08-01,,Entregue
PED_SKU_1012_VAN_1,SKU_1012_VAN,2023-08-16,270,288.06,,2023-09-30,,Entregue
PED_SKU_1012_VAN_2,SKU_1012_VAN,2023-10-15,270,288.06,,2023-11-29,,Entregue
PED_SKU_1012_VAN_3,SKU_1012_VAN,2023-12-14,270,288.06,,2024-01-28,,Entregue
PED_SKU_1012_CLO_0,SKU_1012_CLO,2023-06-17,272,288.06,,2023-08-01,,Entregue
PED_SKU_1012_CLO_1,SKU_1012_CLO,2023-08-16,272,288.06,,2023-09-30,,Entregue
PED_SKU_1012_CLO_2,SKU_1012_CLO,2023-10-15,272,288.06,,2023-11-29,,Entregue
PED_SKU_1012_CLO_3,SKU_1012_CLO,2023-12-14,272,288.06,,2024-01-28,,Entregue
PED_SKU_1013_LIG_0,SKU_1013_LIG,2023-06-17,956,68.43,,2023-08-01,,Entregue
PED_SKU_1013_LIG_1,SKU_1013_LIG,2023-08-16,956,68.43,,2023-09-30,,Entregue
PED_SKU_1014_FLA_0,SKU_1014_FLA,2023-06-17,254,132.37,,2023-08-01,,Entregue
PED_SKU_1014_FLA_1,SKU_1014_FLA,2023-08-16,254,132.37,,2023-09-30,,Entregue
PED_SKU_1014_FLA_2,SKU_1014_FLA,2023-10-15,254,132.37,,2023-11-29,,Entregue
PED_SKU_1014_FLA_3,SKU_1014_FLA,2023-12-14,254,132.37,,2024-01-28,,Entregue
PED_SKU_1014_MIN_0,SKU_1014_MIN,2023-06-17,364,132.37,,2023-08-01,,Entregue
PED_SKU_1014_MIN_1,SKU_1014_MIN,2023-08-16,364,132.37,,2023-09-30,,Entregue
PED_SKU_1014_MIN_2,SKU_1014_MIN,2023-10-15,364,132.37,,2023-11-29,,Entregue
PED_SKU_1015_ROY_0,SKU_1015_ROY,2023-06-17,354,309.45,,2023-08-01,,Entregue
PED_SKU_1015_ROY_1,SKU_1015_ROY,2023-08-16,354,309.45,,2023-09-30,,Entregue
PED_SKU_1015_ROY_2,SKU_1015_ROY,2023-10-15,354,309.45,,2023-11-29,,Entregue
PED_SKU_1015_TUR_0,SKU_1015_TUR,2023-06-17,495,309.45,,2023-08-01,,Entregue
PED_SKU_1015_TUR_1,SKU_1015_TUR,2023-08-16,495,309.45,,2023-09-30,,Entregue
PED_SKU_1016_HON_0,SKU_1016_HON,2023-06-17,230,71.13,,2023-08-01,,Entregue
PED_SKU_1016_HON_1,SKU_1016_HON,2023-08-16,230,71.13,,2023-09-30,,Entregue
PED_SKU_1016_HON_2,SKU_1016_HON,2023-10-15,230,71.13,,2023-11-29,,Entregue
PED_SKU_1016_HON_3,SKU_1016_HON,2023-12-14,230,71.13,,2024-01-28,,Entregue
PED_SKU_1016_SNO_0,SKU_1016_SNO,2023-06-17,379,71.13,,2023-08-01,,Entregue
PED_SKU_1016_SNO_1,SKU_1016_SNO,2023-08-16,379,71.13,,2023-09-30,,Cancelado
PED_SKU_1016_SNO_2,SKU_1016_SNO,2023-10-15,379,71.13,,2023-11-29,,Entregue
PED_SKU_1017_PAS_0,SKU_1017_PAS,2023-06-17,572,47.67,,2023-08-01,,Entregue
PED_SKU_1017_PAS_1,SKU_1017_PAS,2023-08-16,572,47.67,,2023-09-30,,Entregue
PED_SKU_1017_BAL_0,SKU_1017_BAL,2023-06-17,509,47.67,,2023-08-01,,Entregue
PED_SKU_1017_BAL_1,SKU_1017_BAL,2023-08-16,509,47.67,,2023-09-30,,Entregue
PED_SKU_1018_TEA_0,SKU_1018_TEA,2023-06-17,541,38.13,,2023-08-01,,Entregue
PED_SKU_1018_TEA_1,SKU_1018_TEA,2023-08-16,541,38.13,,2023-09-30,,Entregue
PED_SKU_1018_ARM_0,SKU_1018_ARM,2023-06-17,538,38.13,,2023-08-01,,Entregue
PED_SKU_1018_ARM_1,SKU_1018_ARM,2023-08-16,538,38.13,,2023-09-30,,Entregue
PED_SKU_1019_NAV_0,SKU_1019_NAV,2023-06-17,250,82.29,,2023-08-01,,Entregue
PED_SKU_1019_NAV_1,SKU_1019_NAV,2023-08-16,250,82.29,,2023-09-30,,Entregue
PED_SKU_1019_NAV_2,SKU_1019_NAV,2023-10-15,250,82.29,,2023-11-29,,Entregue
PED_SKU_1019_NAV_3,SKU_1019_NAV,2023-12-14,250,82.29,,2024-01-28,,Entregue
PED_SKU_1019_GAR_0,SKU_1019_GAR,2023-06-17,248,82.29,,2023-08-01,,Entregue
PED_SKU_1019_GAR_1,SKU_1019_GAR,2023-08-16,248,82.29,,2023-09-30,,Entregue
PED_SKU_1019_GAR_2,SKU_1019_GAR,2023-10-15,248,82.29,,2023-11-29,,Entregue
PED_SKU_1019_GAR_3,SKU_1019_GAR,2023-12-14,248,82.29,,2024-01-28,,Entregue
PED_SKU_1020_NAV_0,SKU_1020_NAV,2023-06-17,252,60.83,,2023-08-01,,Entregue
PED_SKU_1020_NAV_1,SKU_1020_NAV,2023-08-16,252,60.83,,2023-09-30,,Entregue
PED_SKU_1020_NAV_2,SKU_1020_NAV,2023-10-15,252,60.83,,2023-11-29,,Entregue
PED_SKU_1020_NAV_3,SKU_1020_NAV,2023-12-14,252,60.83,,2024-01-28,,Entregue
PED_SKU_1020_LIG_0,SKU_1020_LIG,2023-06-17,525,60.83,,2023-08-01,,Entregue
PED_SKU_1020_LIG_1,SKU_1020_LIG,2023-08-16,525,60.83,,2023-09-30,,Entregue
PED_SKU_1021_CRE_0,SKU_1021_CRE,2023-06-17,514,76.15,,2023-08-01,,Entregue
PED_SKU_1021_CRE_1,SKU_1021_CRE,2023-08-16,514,76.15,,2023-09-30,,Entregue
PED_SKU_1021_PAS_0,SKU_1021_PAS,2023-06-17,379,76.15,,2023-08-01,,Entregue
PED_SKU_1021_PAS_1,SKU_1021_PAS,2023-08-16,379,76.15,,2023-09-30,,Entregue
PED_SKU_1021_PAS_2,SKU_1021_PAS,2023-10-15,379,76.15,,2023-11-29,,Entregue
PED_SKU_1022_PAL_0,SKU_1022_PAL,2023-06-17,266,104.61,,2023-08-01,,Entregue
PED_SKU_1022_PAL_1,SKU_1022_PAL,2023-08-16,266,104.61,,2023-09-30,,Entregue
PED_SKU_1022_PAL_2,SKU_1022_PAL,2023-10-15,266,104.61,,2023-11-29,,Entregue
PED_SKU_1022_PAL_3,SKU_1022_PAL,2023-12-14,266,104.61,,2024-01-28,,Entregue
PED_SKU_1022_DEN_0,SKU_1022_DEN,2023-06-17,334,104.61,,2023-08-01,,Entregue
PED_SKU_1022_DEN_1,SKU_1022_DEN,2023-08-16,334,104.61,,2023-09-30,,Entregue
PED_SKU_1022_DEN_2,SKU_1022_DEN,2023-10-15,334,104.61,,2023-11-29,,Entregue
PED_SKU_1023_DEN_0,SKU_1023_DEN,2023-06-17,359,109.83,,2023-08-01,,Entregue
PED_SKU_1023_DEN_1,SKU_1023_DEN,2023-08-16,359,109.83,,2023-09-30,,Entregue
PED_SKU_1023_DEN_2,SKU_1023_DEN,2023-10-15,359,109.83,,2023-11-29,,Entregue
PED_SKU_1023_FOR_0,SKU_1023_FOR,2023-06-17,364,109.83,,2023-08-01,,Entregue
PED_SKU_1023_FOR_1,SKU_1023_FOR,2023-08-16,364,109.83,,2023-09-30,,Entregue
PED_SKU_1023_FOR_2,SKU_1023_FOR,2023-10-15,364,109.83,,2023-11-29,,Entregue
PED_SKU_1024_VAN_0,SKU_1024_VAN,2023-06-17,370,79.8,,2023-08-01,,Entregue
PED_SKU_1024_VAN_1,SKU_1024_VAN,2023-08-16,370,79.8,,2023-09-30,,Entregue
PED_SKU_1024_VAN_2,SKU_1024_VAN,2023-10-15,370,79.8,,2023-11-29,,Entregue
PED_SKU_1024_DEN_0,SKU_1024_DEN,2023-06-17,238,79.8,,2023-08-01,,Entregue
PED_SKU_1024_DEN_1,SKU_1024_DEN,2023-08-16,238,79.8,,2023-09-30,,Entregue
PED_SKU_1024_DEN_2,SKU_1024_DEN,2023-10-15,238,79.8,,2023-11-29,,Entregue
PED_SKU_1024_DEN_3,SKU_1024_DEN,2023-12-14,238,79.8,,2024-01-28,,Entregue
PED_SKU_1025_WHI_0,SKU_1025_WHI,2023-06-17,336,154.2,,2023-08-01,,Entregue
PED_SKU_1025_WHI_1,SKU_1025_WHI,2023-08-16,336,154.2,,2023-09-30,,Entregue
PED_SKU_1025_WHI_2,SKU_1025_WHI,2023-10-15,336,154.2,,2023-11-29,,Entregue
PED_SKU_1025_MIN_0,SKU_1025_MIN,2023-06-17,513,154.2,,2023-08-01,,Entregue
PED_SKU_1025_MIN_1,SKU_1025_MIN,2023-08-16,513,154.2,,2023-09-30,,Entregue
PED_SKU_1026_CLO_0,SKU_1026_CLO,2023-06-17,511,136.59,,2023-08-01,,Entregue
PED_SKU_1026_CLO_1,SKU_1026_CLO,2023-08-16,511,136.59,,2023-09-30,,Cancelado
PED_SKU_1026_SPA_0,SKU_1026_SPA,2023-06-17,340,136.59,,2023-08-01,,Entregue
PED_SKU_1026_SPA_1,SKU_1026_SPA,2023-08-16,340,136.59,,2023-09-30,,Entregue
PED_SKU_1026_SPA_2,SKU_1026_SPA,2023-10-15,340,136.59,,2023-11-29,,Entregue
PED_SKU_1027_MAR_0,SKU_1027_MAR,2023-06-17,286,133.53,,2023-08-01,,Entregue
PED_SKU_1027_MAR_1,SKU_1027_MAR,2023-08-16,286,133.53,,2023-09-30,,Entregue
PED_SKU_1027_MAR_2,SKU_1027_MAR,2023-10-15,286,133.53,,2023-11-29,,Entregue
PED_SKU_1027_MAR_3,SKU_1027_MAR,2023-12-14,286,133.53,,2024-01-28,,Entregue
PED_SKU_1027_BIR_0,SKU_1027_BIR,2023-06-17,282,133.53,,2023-08-01,,Entregue
PED_SKU_1027_BIR_1,SKU_1027_BIR,2023-08-16,282,133.53,,2023-09-30,,Entregue
PED_SKU_1027_BIR_2,SKU_1027_BIR,2023-10-15,282,133.53,,2023-11-29,,Entregue
PED_SKU_1027_BIR_3,SKU_1027_BIR,2023-12-14,282,133.53,,2024-01-28,,Entregue
PED_SKU_1028_BLU_0,SKU_1028_BLU,2023-06-17,266,200.31,,2023-08-01,,Entregue
PED_SKU_1028_BLU_1,SKU_1028_BLU,2023-08-16,266,200.31,,2023-09-30,,Entregue
PED_SKU_1028_BLU_2,SKU_1028_BLU,2023-10-15,266,200.31,,2023-11-29,,Entregue
PED_SKU_1028_BLU_3,SKU_1028_BLU,2023-12-14,266,200.31,,2024-01-28,,Entregue
PED_SKU_1028_AQU_0,SKU_1028_AQU,2023-06-17,331,200.31,,2023-08-01,,Entregue
PED_SKU_1028_AQU_1,SKU_1028_AQU,2023-08-16,331,200.31,,2023-09-30,,Entregue
PED_SKU_1028_AQU_2,SKU_1028_AQU,2023-10-15,331,200.31,,2023-11-29,,Entregue
PED_SKU_1029_BLU_0,SKU_1029_BLU,2023-06-17,276,77.88,,2023-08-01,,Entregue
PED_SKU_1029_BLU_1,SKU_1029_BLU,2023-08-16,276,77.88,,2023-09-30,,Entregue
PED_SKU_1029_BLU_2,SKU_1029_BLU,2023-10-15,276,77.88,,2023-11-29,,Entregue
PED_SKU_1029_BLU_3,SKU_1029_BLU,2023-12-14,276,77.88,,2024-01-28,,Entregue
PED_SKU_1029_BAL_0,SKU_1029_BAL,2023-06-17,254,77.88,,2023-08-01,,Entregue
PED_SKU_1029_BAL_1,SKU_1029_BAL,2023-08-16,254,77.88,,2023-09-30,,Entregue
PED_SKU_1029_BAL_2,SKU_1029_BAL,2023-10-15,254,77.88,,2023-11-29,,Entregue
PED_SKU_1029_BAL_3,SKU_1029_BAL,2023-12-14,254,77.88,,2024-01-28,,Entregue
PED_SKU_1030_CRE_0,SKU_1030_CRE,2023-06-17,498,206.67,,2023-08-01,,Entregue
PED_SKU_1030_CRE_1,SKU_1030_CRE,2023-08-16,498,206.67,,2023-09-30,,Entregue
PED_SKU_1030_DEN_0,SKU_1030_DEN,2023-06-17,242,206.67,,2023-08-01,,Entregue
PED_SKU_1030_DEN_1,SKU_1030_DEN,2023-08-16,242,206.67,,2023-09-30,,Entregue
PED_SKU_1030_DEN_2,SKU_1030_DEN,2023-10-15,242,206.67,,2023-11-29,,Entregue
PED_SKU_1030_DEN_3,SKU_1030_DEN,2023-12-14,242,206.67,,2024-01-28,,Entregue
PED_SKU_1031_COR_0,SKU_1031_COR,2023-06-17,270,157.19,,2023-08-01,,Entregue
PED_SKU_1031_COR_1,SKU_1031_COR,2023-08-16,270,157.19,,2023-09-30,,Entregue
PED_SKU_1031_COR_2,SKU_1031_COR,2023-10-15,270,157.19,,2023-11-29,,Entregue
PED_SKU_1031_COR_3,SKU_1031_COR,2023-12-14,270,157.19,,2024-01-28,,Entregue
PED_SKU_1031_HON_0,SKU_1031_HON,2023-06-17,238,157.19,,2023-08-01,,Entregue
PED_SKU_1031_HON_1,SKU_1031_HON,2023-08-16,238,157.19,,2023-09-30,,Entregue
PED_SKU_1031_HON_2,SKU_1031_HON,2023-10-15,238,157.19,,2023-11-29,,Cancelado
PED_SKU_1031_HON_3,SKU_1031_HON,2023-12-14,238,157.19,,2024-01-28,,Entregue
PED_SKU_1032_EME_0,SKU_1032_EME,2023-06-17,359,109.68,,2023-08-01,,Entregue
PED_SKU_1032_EME_1,SKU_1032_EME,2023-08-16,359,109.68,,2023-09-30,,Entregue
PED_SKU_1032_EME_2,SKU_1032_EME,2023-10-15,359,109.68,,2023-11-29,,Entregue
PED_SKU_1032_HON_0,SKU_1032_HON,2023-06-17,259,109.68,,2023-08-01,,Entregue
PED_SKU_1032_HON_1,SKU_1032_HON,2023-08-16,259,109.68,,2023-09-30,,Entregue
PED_SKU_1032_HON_2,SKU_1032_HON,2023-10-15,259,109.68,,2023-11-29,,Entregue
PED_SKU_1032_HON_3,SKU_1032_HON,2023-12-14,259,109.68,,2024-01-28,,Entregue
PED_SKU_1033_NAV_0,SKU_1033_NAV,2023-06-17,378,206.67,,2023-08-01,,Entregue
PED_SKU_1033_NAV_1,SKU_1033_NAV,2023-08-16,378,206.67,,2023-09-30,,Entregue
PED_SKU_1033_NAV_2,SKU_1033_NAV,2023-10-15,378,206.67,,2023-11-29,,Entregue
PED_SKU_1033_LIM_0,SKU_1033_LIM,2023-06-17,507,206.67,,2023-08-01,,Entregue
PED_SKU_1033_LIM_1,SKU_1033_LIM,2023-08-16,507,206.67,,2023-09-30,,Entregue
PED_SKU_1034_PAS_0,SKU_1034_PAS,2023-06-17,535,70.75,,2023-08-01,,Entregue
PED_SKU_1034_PAS_1,SKU_1034_PAS,2023-08-16,535,70.75,,2023-09-30,,Entregue
PED_SKU_1034_PIS_0,SKU_1034_PIS,2023-06-17,273,70.75,,2023-08-01,,Entregue
PED_SKU_1034_PIS_1,SKU_1034_PIS,2023-08-16,273,70.75,,2023-09-30,,Entregue
PED_SKU_1034_PIS_2,SKU_1034_PIS,2023-10-15,273,70.75,,2023-11-29,,Entregue
PED_SKU_1034_PIS_3,SKU_1034_PIS,2023-12-14,273,70.75,,2024-01-28,,Entregue
PED_SKU_1035_SAP_0,SKU_1035_SAP,2023-06-17,557,208.26,,2023-08-01,,Entregue
PED_SKU_1035_SAP_1,SKU_1035_SAP,2023-08-16,557,208.26,,2023-09-30,,Entregue
PED_SKU_1035_FUC_0,SKU_1035_FUC,2023-06-17,374,208.26,,2023-08-01,,Entregue
PED_SKU_1035_FUC_1,SKU_1035_FUC,2023-08-16,374,208.26,,2023-09-30,,Entregue
PED_SKU_1035_FUC_2,SKU_1035_FUC,2023-10-15,374,208.26,,2023-11-29,,Entregue
PED_SKU_1036_BIR_0,SKU_1036_BIR,2023-06-17,338,246.87,,2023-08-01,,Entregue
PED_SKU_1036_BIR_1,SKU_1036_BIR,2023-08-16,338,246.87,,2023-09-30,,Entregue
PED_SKU_1036_BIR_2,SKU_1036_BIR,2023-10-15,338,246.87,,2023-11-29,,Entregue
PED_SKU_1036_MID_0,SKU_1036_MID,2023-06-17,253,246.87,,2023-08-01,,Entregue
PED_SKU_1036_MID_1,SKU_1036_MID,2023-08-16,253,246.87,,2023-09-30,,Entregue
PED_SKU_1036_MID_2,SKU_1036_MID,2023-10-15,253,246.87,,2023-11-29,,Entregue
PED_SKU_1036_MID_3,SKU_1036_MID,2023-12-14,253,246.87,,2024-01-28,,Entregue
PED_SKU_1037_PRI_0,SKU_1037_PRI,2023-06-17,249,66.75,,2023-08-01,,Entregue
PED_SKU_1037_PRI_1,SKU_1037_PRI,2023-08-16,249,66.75,,2023-09-30,,Entregue
PED_SKU_1037_PRI_2,SKU_1037_PRI,2023-10-15,249,66.75,,2023-11-29,,Entregue
PED_SKU_1037_PRI_3,SKU_1037_PRI,2023-12-14,249,66.75,,2024-01-28,,Entregue
PED_SKU_1037_SPA_0,SKU_1037_SPA,2023-06-17,366,66.75,,2023-08-01,,Entregue
PED_SKU_1037_SPA_1,SKU_1037_SPA,2023-08-16,366,66.75,,2023-09-30,,Entregue
PED_SKU_1037_SPA_2,SKU_1037_SPA,2023-10-15,366,66.75,,2023-11-29,,Entregue
PED_SKU_1038_LIG_0,SKU_1038_LIG,2023-06-17,231,81.06,,2023-08-01,,Entregue
PED_SKU_1038_LIG_1,SKU_1038_LIG,2023-08-16,231,81.06,,2023-09-30,,Entregue
PED_SKU_1038_LIG_2,SKU_1038_LIG,2023-10-15,231,81.06,,2023-11-29,,Entregue
PED_SKU_1038_LIG_3,SKU_1038_LIG,2023-12-14,231,81.06,,2024-01-28,,Entregue
PED_SKU_1038_FLA_0,SKU_1038_FLA,2023-06-17,277,81.06,,2023-08-01,,Entregue
PED_SKU_1038_FLA_1,SKU_1038_FLA,2023-08-16,277,81.06,,2023-09-30,,Entregue
PED_SKU_1038_FLA_2,SKU_1038_FLA,2023-10-15,277,81.06,,2023-11-29,,Entregue
PED_SKU_1038_FLA_3,SKU_1038_FLA,2023-12-14,277,81.06,,2024-01-28,,Entregue
PED_SKU_1039_ARM_0,SKU_1039_ARM,2023-06-17,330,51.27,,2023-08-01,,Entregue
PED_SKU_1039_ARM_1,SKU_1039_ARM,2023-08-16,330,51.27,,2023-09-30,,Entregue
PED_SKU_1039_ARM_2,SKU_1039_ARM,2023-10-15,330,51.27,,2023-11-29,,Entregue
PED_SKU_1039_MIN_0,SKU_1039_MIN,2023-06-17,266,51.27,,2023-08-01,,Entregue
PED_SKU_1039_MIN_1,SKU_1039_MIN,2023-08-16,266,51.27,,2023-09-30,,Entregue
PED_SKU_1039_MIN_2,SKU_1039_MIN,2023-10-15,266,51.27,,2023-11-29,,Entregue
PED_SKU_1039_MIN_3,SKU_1039_MIN,2023-12-14,266,51.27,,2024-01-28,,Entregue
PED_SKU_1040_BLA_0,SKU_1040_BLA,2023-06-17,241,107.59,,2023-08-01,,Entregue
PED_SKU_1040_BLA_1,SKU_1040_BLA,2023-08-16,241,107.59,,2023-09-30,,Entregue
PED_SKU_1040_BLA_2,SKU_1040_BLA,2023-10-15,241,107.59,,2023-11-29,,Entregue
PED_SKU_1040_BLA_3,SKU_1040_BLA,2023-12-14,241,107.59,,2024-01-28,,Entregue
PED_SKU_1040_BAB_0,SKU_1040_BAB,2023-06-17,332,107.59,,2023-08-01,,Entregue
PED_SKU_1040_BAB_1,SKU_1040_BAB,2023-08-16,332,107.59,,2023-09-30,,Entregue
PED_SKU_1040_BAB_2,SKU_1040_BAB,2023-10-15,332,107.59,,2023-11-29,,Entregue
PED_SKU_1041_EME_0,SKU_1041_EME,2023-06-17,353,65.44,,2023-08-01,,Entregue
PED_SKU_1041_EME_1,SKU_1041_EME,2023-08-16,353,65.44,,2023-09-30,,Entregue
PED_SKU_1041_EME_2,SKU_1041_EME,2023-10-15,353,65.44,,2023-11-29,,Entregue
